tradeId,date,day,openTime,closeTime,instrument,realizedPL,decission,askOpen,bidOpenT,askCloseT,bidClose
14,2026-04-24,Friday,20:51:32.378444,20:52:08.884049,EUR_USD,-3.4000,1,1.17242,1.17202,1.17242,1.17206
23,2026-04-24,Friday,20:53:05.518294,20:54:02.754803,EUR_USD,-2.4000,-1,1.17234,1.17198,1.17241,1.17205
32,2026-04-24,Friday,20:54:19.358427,20:55:08.323825,EUR_USD,-2.2000,1,1.17242,1.17206,1.17242,1.17201
41,2026-04-24,Friday,20:55:35.591791,20:56:05.832953,EUR_USD,-2.2000,1,1.17244,1.17207,1.17239,1.17203
48,2026-04-24,Friday,20:56:17.032722,20:57:03.563024,EUR_USD,-4.4000,1,1.17251,1.17214,1.17248,1.17210
57,2026-04-24,Friday,20:57:30.461780,20:58:04.489428,EUR_USD,-0.4000,-1,1.17234,1.17197,1.17220,1.17185
64,2026-04-24,Friday,20:58:05.836647,20:58:52.631117,EUR_USD,-10.0000,-1,1.17220,1.17185,1.17254,1.17146
